"","ID","N","distribution","mean","sd","df"
"177",177,20,"Normal",0,1.29099444873581,NA
"178",178,20,"Normal",0,1.29099444873581,NA
"179",179,20,"Normal",0,1.29099444873581,NA
"180",180,20,"Normal",0,1.29099444873581,NA
"181",181,20,"T",0,1.29099444873581,5
"182",182,20,"Exponential",1.29099444873581,1.29099444873581,NA
"183",183,20,"Log-Normal",2.30097589089283,1.29099444873581,NA
"184",184,20,"Chi-Squared",5,3.16227766016838,5
"185",185,20,"Normal",0,1.22474487139159,NA
"186",186,20,"Normal",0,1.22474487139159,NA
"187",187,20,"Normal",0,1.22474487139159,NA
"188",188,20,"Normal",0,1.22474487139159,NA
"189",189,20,"T",0,1.22474487139159,6
"190",190,20,"Exponential",1.22474487139159,1.22474487139159,NA
"191",191,20,"Log-Normal",2.11700001661267,1.22474487139159,NA
"192",192,20,"Chi-Squared",6,3.46410161513775,6
"193",193,20,"Normal",0,1.18321595661992,NA
"194",194,20,"Normal",0,1.18321595661992,NA
"195",195,20,"Normal",0,1.18321595661992,NA
"196",196,20,"Normal",0,1.18321595661992,NA
"197",197,20,"T",0,1.18321595661992,7
"198",198,20,"Exponential",1.18321595661992,1.18321595661992,NA
"199",199,20,"Log-Normal",2.01375270747048,1.18321595661992,NA
"200",200,20,"Chi-Squared",7,3.74165738677394,7
"201",201,30,"Normal",0,1.73205080756888,NA
"202",202,30,"Normal",0,1.73205080756888,NA
"203",203,30,"Normal",0,1.73205080756888,NA
"204",204,30,"Normal",0,1.73205080756888,NA
"205",205,30,"T",0,1.73205080756888,3
"206",206,30,"Exponential",1.73205080756888,1.73205080756888,NA
"207",207,30,"Log-Normal",4.48168907033806,1.73205080756888,NA
"208",208,30,"Chi-Squared",3,2.44948974278318,3
"209",209,30,"Normal",0,1.4142135623731,NA
"210",210,30,"Normal",0,1.4142135623731,NA
"211",211,30,"Normal",0,1.4142135623731,NA
"212",212,30,"Normal",0,1.4142135623731,NA
"213",213,30,"T",0,1.4142135623731,4
"214",214,30,"Exponential",1.4142135623731,1.4142135623731,NA
"215",215,30,"Log-Normal",2.71828182845905,1.4142135623731,NA
"216",216,30,"Chi-Squared",4,2.82842712474619,4
"217",217,30,"Normal",0,1.29099444873581,NA
"218",218,30,"Normal",0,1.29099444873581,NA
"219",219,30,"Normal",0,1.29099444873581,NA
"220",220,30,"Normal",0,1.29099444873581,NA
"221",221,30,"T",0,1.29099444873581,5
"222",222,30,"Exponential",1.29099444873581,1.29099444873581,NA
"223",223,30,"Log-Normal",2.30097589089283,1.29099444873581,NA
"224",224,30,"Chi-Squared",5,3.16227766016838,5
"225",225,30,"Normal",0,1.22474487139159,NA
"226",226,30,"Normal",0,1.22474487139159,NA
"227",227,30,"Normal",0,1.22474487139159,NA
"228",228,30,"Normal",0,1.22474487139159,NA
"229",229,30,"T",0,1.22474487139159,6
