"","ID","scagnostics","scag_num"
"91",11,0.357802432940675,1
"92",11,0.651305858259027,2
"93",11,0.02012414014963,3
"94",11,0.0725291020962453,4
"95",11,0.102272727272727,5
"96",11,0.565306771349998,6
"97",11,0.561118717103931,7
"98",11,0.428018714860171,8
"99",11,0.00498082227405163,9
"100",12,0.158858955437454,1
"101",12,0.68281540352289,2
"102",12,0.0208119127167183,3
"103",12,0.0883277638171982,4
"104",12,0.0879120879120879,5
"105",12,0.544443981476618,6
"106",12,0.272327385084107,7
"107",12,0.409935860058309,8
"108",12,0.0644528607479817,9
"109",13,0.0654654006038609,1
"110",13,0.599637385034753,2
"111",13,0,3
"112",13,0.103543410342927,4
"113",13,0.114583333333333,5
"114",13,0.765562378556088,6
"115",13,0.272909854241932,7
"116",13,0.388585078869958,8
"117",13,0.0494826640225825,9
"118",14,0.0649732201826603,1
"119",14,0.555415965023244,2
"120",14,0.00244759715485685,3
"121",14,0.0910726643527447,4
"122",14,0.0645161290322581,5
"123",14,0.639585876747094,6
"124",14,0.539019768716253,7
"125",14,0.349248835604382,8
"126",14,0.0627255644711238,9
"127",15,0.114869871976984,1
"128",15,0.52178108227779,2
"129",15,0.0145835804629079,3
"130",15,0.0866526225629751,4
"131",15,0.0978260869565217,5
"132",15,0.775952706295808,6
"133",15,0.304966066730344,7
"134",15,0.392857442213288,8
"135",15,0.030383730793908,9
"136",16,0.060572166881315,1
"137",16,0.671472787680576,2
"138",16,0.0156182991087033,3
"139",16,0.097352171348523,4
"140",16,0.074468085106383,5
"141",16,0.589702205592906,6
"142",16,0.388489547547336,7
"143",16,0.355396412037037,8
"144",16,0.0812237130740405,9
"145",17,0.140249152775118,1
"146",17,0.526301064617484,2
"147",17,0.019919503258681,3
"148",17,0.0819052376748879,4
"149",17,0.0337078651685393,5
"150",17,0.740060084999824,6
"151",17,0.305436299939673,7
"152",17,0.323630233772106,8
"153",17,0.0731218126292891,9
"154",18,0.325460067071669,1
"155",18,0.606176458278986,2
"156",18,0.0254751507641786,3
"157",18,0.0731261147186568,4
"158",18,0.0898876404494382,5
"159",18,0.562045527010439,6
"160",18,0.406448966326455,7
"161",18,0.527943508895498,8
"162",18,0.0519197621803498,9
"163",19,0.218245935671367,1
"164",19,0.688098464356997,2
"165",19,0.00258421524996937,3
"166",19,0.0853346351467053,4
"167",19,0.0333333333333333,5
"168",19,0.643902261741212,6
"169",19,0.328591928310703,7
"170",19,0.415960951186189,8
"171",19,0.0285664872053774,9
