"","ID","Rate","N","SD","signal"
"312",312,0.75,400,12,1
"313",313,1,400,12,1
"314",314,1.5,400,12,1
"315",315,2,400,12,1
"316",316,0.5,500,1,1
"317",317,0.75,500,1,1
"318",318,1,500,1,1
"319",319,1.5,500,1,1
"320",320,2,500,1,1
"321",321,0.5,500,2,1
"322",322,0.75,500,2,1
"323",323,1,500,2,1
"324",324,1.5,500,2,1
"325",325,2,500,2,1
"326",326,0.5,500,3,1
"327",327,0.75,500,3,1
"328",328,1,500,3,1
"329",329,1.5,500,3,1
"330",330,2,500,3,1
"331",331,0.5,500,4,1
"332",332,0.75,500,4,1
"333",333,1,500,4,1
"334",334,1.5,500,4,1
"335",335,2,500,4,1
"336",336,0.5,500,6,1
"337",337,0.75,500,6,1
"338",338,1,500,6,1
"339",339,1.5,500,6,1
"340",340,2,500,6,1
"341",341,0.5,500,8,1
"342",342,0.75,500,8,1
"343",343,1,500,8,1
"344",344,1.5,500,8,1
"345",345,2,500,8,1
"346",346,0.5,500,12,1
"347",347,0.75,500,12,1
"348",348,1,500,12,1
"349",349,1.5,500,12,1
"350",350,2,500,12,1
"351",351,0.5,100,1,1
"352",352,0.75,100,1,1
"353",353,1,100,1,1
"354",354,1.5,100,1,1
"355",355,2,100,1,1
"356",356,0.5,100,2,1
"357",357,0.75,100,2,1
"358",358,1,100,2,1
"359",359,1.5,100,2,1
"360",360,2,100,2,1
"361",361,0.5,100,3,1
"362",362,0.75,100,3,1
"363",363,1,100,3,1
"364",364,1.5,100,3,1
"365",365,2,100,3,1
"366",366,0.5,100,4,1
"367",367,0.75,100,4,1
"368",368,1,100,4,1
"369",369,1.5,100,4,1
"370",370,2,100,4,1
"371",371,0.5,100,6,1
"372",372,0.75,100,6,1
"373",373,1,100,6,1
"374",374,1.5,100,6,1
"375",375,2,100,6,1
"376",376,0.5,100,8,1
"377",377,0.75,100,8,1
"378",378,1,100,8,1
"379",379,1.5,100,8,1
"380",380,2,100,8,1
"381",381,0.5,100,12,1
"382",382,0.75,100,12,1
"383",383,1,100,12,1
"384",384,1.5,100,12,1
"385",385,2,100,12,1
"386",386,0.5,200,1,1
"387",387,0.75,200,1,1
"388",388,1,200,1,1
"389",389,1.5,200,1,1
"390",390,2,200,1,1
"391",391,0.5,200,2,1
"392",392,0.75,200,2,1
"393",393,1,200,2,1
"394",394,1.5,200,2,1
"395",395,2,200,2,1
"396",396,0.5,200,3,1
"397",397,0.75,200,3,1
"398",398,1,200,3,1
"399",399,1.5,200,3,1
"400",400,2,200,3,1
"401",401,0.5,200,4,1
"402",402,0.75,200,4,1
"403",403,1,200,4,1
"404",404,1.5,200,4,1
"405",405,2,200,4,1
"406",406,0.5,200,6,1
"407",407,0.75,200,6,1
"408",408,1,200,6,1
"409",409,1.5,200,6,1
"410",410,2,200,6,1
"411",411,0.5,200,8,1
"412",412,0.75,200,8,1
"413",413,1,200,8,1
"414",414,1.5,200,8,1
"415",415,2,200,8,1
"416",416,0.5,200,12,1
"417",417,0.75,200,12,1
"418",418,1,200,12,1
"419",419,1.5,200,12,1
"420",420,2,200,12,1
"421",421,0.5,300,1,1
"422",422,0.75,300,1,1
"423",423,1,300,1,1
"424",424,1.5,300,1,1
"425",425,2,300,1,1
"426",426,0.5,300,2,1
"427",427,0.75,300,2,1
"428",428,1,300,2,1
"429",429,1.5,300,2,1
"430",430,2,300,2,1
"431",431,0.5,300,3,1
"432",432,0.75,300,3,1
"433",433,1,300,3,1
"434",434,1.5,300,3,1
"435",435,2,300,3,1
"436",436,0.5,300,4,1
"437",437,0.75,300,4,1
"438",438,1,300,4,1
"439",439,1.5,300,4,1
