"","data_name","R1","R2","R3","R4","R5","R6","R7","R8","R9","R10","R11","R12","plot_location","index"
"98","data-1-1-1-20-2-14-5.csv","7","10","13","16",NA,NA,NA,NA,NA,NA,NA,NA,14,1
"99","data-1-1-1-20-2-14-5.csv","14","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"100","data-1-1-1-20-2-14-5.csv","7","10","13","16",NA,NA,NA,NA,NA,NA,NA,NA,14,1
"101","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"102","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"103","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"104","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"105","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"106","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"107","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"108","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"109","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"110","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"111","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"112","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"113","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"114","data-1-1-1-20-2-14-5.csv","5","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"115","data-1-1-1-20-2-14-5.csv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"116","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"117","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"118","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"119","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"120","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"121","data-1-1-1-20-2-14-5.csv","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"122","data-1-1-1-20-2-14-5.csv","4","3","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"123","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"124","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"125","data-1-1-1-20-2-14-5.csv","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"126","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"127","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"128","data-1-1-1-20-2-14-5.csv","14","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"129","data-1-1-1-20-2-14-5.csv","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"130","data-1-1-1-20-2-14-5.csv","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"131","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"132","data-1-1-1-20-2-14-5.csv","15","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"133","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"134","data-1-1-1-20-2-14-5.csv","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"135","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"136","data-1-1-1-20-2-14-5.csv","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"137","data-1-1-1-20-2-14-5.csv","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"138","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
"139","data-1-1-1-20-2-14-5.csv","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1
"140","data-1-1-1-20-2-14-5.csv","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1
