"","ID","scagnostics","scag_num"
"78",9,0.449985543952168,6
"79",9,0.412935019655876,7
"80",9,0.37856736946534,8
"81",9,0.036258935748781,9
"82",10,0.645115659137273,1
"83",10,0.725785856688923,2
"84",10,0.0572896030444207,3
"85",10,0.0628275982398795,4
"86",10,0.0263157894736842,5
"87",10,0.445818552273728,6
"88",10,0.455927196887427,7
"89",10,0.304450788880541,8
"90",10,0.00472790840795912,9
"91",11,0.646363204853244,1
"92",11,0.745229877393525,2
"93",11,0.0556184292452059,3
"94",11,0.0624297784212615,4
"95",11,0.038961038961039,5
"96",11,0.45299744066561,6
"97",11,0.574244796318376,7
"98",11,0.328016728853172,8
"99",11,0.0247311539094836,9
"100",12,0.607735312195627,1
"101",12,0.722628540355989,2
"102",12,0.0415813109624257,3
"103",12,0.0642804070059615,4
"104",12,0.0897435897435897,5
"105",12,0.360712241551909,6
"106",12,0.59539048826634,7
"107",12,0.435630727400893,8
"108",12,0.00484411311709518,9
"109",13,0.862099453442915,1
"110",13,0.637384531987015,2
"111",13,0.0554577189243764,3
"112",13,0.046625637518049,4
"113",13,0.0149253731343284,5
"114",13,0.40469095984274,6
"115",13,0.56193320199188,7
"116",13,0.314432,8
"117",13,0.00440449091189413,9
"118",14,0.544524029280459,1
"119",14,0.817060261666186,2
"120",14,0.0292522899244473,3
"121",14,0.0647574340618294,4
"122",14,0.0657894736842105,5
"123",14,0.394444436347313,6
"124",14,0.485551492619864,7
"125",14,0.421875,8
"126",14,0.0830667649908741,9
"127",15,1.32082767491368,1
"128",15,0.666248725440029,2
"129",15,0.170212765957447,3
"130",15,0.0341269835455342,4
"131",15,0.0263157894736842,5
"132",15,0.691684770369978,6
"133",15,0.239459814004002,7
"134",15,0.512,8
"135",15,0.137902476673601,9
"136",16,0.0953572841456897,1
"137",16,0.521046751038632,2
"138",16,0.0281444008630664,3
"139",16,0.0898576237409976,4
"140",16,0.074468085106383,5
"141",16,0.633658525670126,6
"142",16,0.341018655334479,7
"143",16,0.421875,8
"144",16,0.301285832343225,9
"145",17,0.301593555106466,1
"146",17,0.596071063120905,2
"147",17,0.0340797716964222,3
"148",17,0.0762141665728264,4
"149",17,0.0588235294117647,5
"150",17,0.499858996855997,6
"151",17,0.363182123494269,7
"152",17,0.296296296296296,8
"153",17,0.1421402304422,9
"154",18,0.422171546446794,1
"155",18,0.667724759101053,2
"156",18,0.026469833662148,3
"157",18,0.054185366291263,4
"158",18,0.0568181818181818,5
"159",18,0.453768230649938,6
"160",18,0.533502412354285,7
"161",18,0.316960931630353,8
"162",18,0.0562226330154694,9
"163",19,0.213920451339519,1
"164",19,0.696611294692256,2
"165",19,0.062838370388653,3
"166",19,0.082238574321962,4
"167",19,0.1,5
"168",19,0.326693048836481,6
"169",19,0.480545970791076,7
"170",19,0.409935860058309,8
"171",19,0.212435511906926,9
"172",20,0.194953988855983,1
"173",20,0.659093979988113,2
"174",20,0.0318620240605033,3
"175",20,0.0839494280176884,4
"176",20,0.0549450549450549,5
"177",20,0.541621587390468,6
"178",20,0.441911882706942,7
"179",20,0.392857442213288,8
"180",20,0.153616612912888,9
"181",21,0.304536072986178,1
