"","ID","N","radius","startingAngle","sd1","sd2","signal"
"178",89,100,1,0,1,1,0
"179",90,100,1,0,0.166666666666667,0.333333333333333,1
"180",90,100,1,0,1,1,0
"181",91,100,1,0,0.2,0.125,1
"182",91,100,1,0,1,1,0
"183",92,100,1,0,0.2,0.142857142857143,1
"184",92,100,1,0,1,1,0
"185",93,100,1,0,0.2,0.166666666666667,1
"186",93,100,1,0,1,1,0
"187",94,100,1,0,0.2,0.2,1
"188",94,100,1,0,1,1,0
"189",95,100,1,0,0.2,0.25,1
"190",95,100,1,0,1,1,0
"191",96,100,1,0,0.2,0.333333333333333,1
"192",96,100,1,0,1,1,0
"193",97,100,1,0,0.25,0.125,1
"194",97,100,1,0,1,1,0
"195",98,100,1,0,0.25,0.142857142857143,1
"196",98,100,1,0,1,1,0
"197",99,100,1,0,0.25,0.166666666666667,1
"198",99,100,1,0,1,1,0
"199",100,100,1,0,0.25,0.2,1
"200",100,100,1,0,1,1,0
"201",101,100,1,0,0.25,0.25,1
"202",101,100,1,0,1,1,0
"203",102,100,1,0,0.25,0.333333333333333,1
"204",102,100,1,0,1,1,0
"205",103,100,1,0,0.333333333333333,0.125,1
"206",103,100,1,0,1,1,0
"207",104,100,1,0,0.333333333333333,0.142857142857143,1
"208",104,100,1,0,1,1,0
"209",105,100,1,0,0.333333333333333,0.166666666666667,1
"210",105,100,1,0,1,1,0
"211",106,100,1,0,0.333333333333333,0.2,1
"212",106,100,1,0,1,1,0
"213",107,100,1,0,0.333333333333333,0.25,1
"214",107,100,1,0,1,1,0
"215",108,100,1,0,0.333333333333333,0.333333333333333,1
"216",108,100,1,0,1,1,0
"217",109,133,1,0,0.125,0.125,1
"218",109,133,1,0,1,1,0
"219",110,133,1,0,0.125,0.142857142857143,1
"220",110,133,1,0,1,1,0
"221",111,133,1,0,0.125,0.166666666666667,1
"222",111,133,1,0,1,1,0
"223",112,133,1,0,0.125,0.2,1
"224",112,133,1,0,1,1,0
"225",113,133,1,0,0.125,0.25,1
"226",113,133,1,0,1,1,0
"227",114,133,1,0,0.125,0.333333333333333,1
"228",114,133,1,0,1,1,0
"229",115,133,1,0,0.142857142857143,0.125,1
"230",115,133,1,0,1,1,0
"231",116,133,1,0,0.142857142857143,0.142857142857143,1
"232",116,133,1,0,1,1,0
"233",117,133,1,0,0.142857142857143,0.166666666666667,1
"234",117,133,1,0,1,1,0
"235",118,133,1,0,0.142857142857143,0.2,1
"236",118,133,1,0,1,1,0
"237",119,133,1,0,0.142857142857143,0.25,1
"238",119,133,1,0,1,1,0
"239",120,133,1,0,0.142857142857143,0.333333333333333,1
"240",120,133,1,0,1,1,0
"241",121,133,1,0,0.166666666666667,0.125,1
"242",121,133,1,0,1,1,0
"243",122,133,1,0,0.166666666666667,0.142857142857143,1
"244",122,133,1,0,1,1,0
"245",123,133,1,0,0.166666666666667,0.166666666666667,1
"246",123,133,1,0,1,1,0
"247",124,133,1,0,0.166666666666667,0.2,1
"248",124,133,1,0,1,1,0
"249",125,133,1,0,0.166666666666667,0.25,1
"250",125,133,1,0,1,1,0
"251",126,133,1,0,0.166666666666667,0.333333333333333,1
"252",126,133,1,0,1,1,0
"253",127,133,1,0,0.2,0.125,1
"254",127,133,1,0,1,1,0
"255",128,133,1,0,0.2,0.142857142857143,1
"256",128,133,1,0,1,1,0
"257",129,133,1,0,0.2,0.166666666666667,1
"258",129,133,1,0,1,1,0
"259",130,133,1,0,0.2,0.2,1
"260",130,133,1,0,1,1,0
"261",131,133,1,0,0.2,0.25,1
"262",131,133,1,0,1,1,0
"263",132,133,1,0,0.2,0.333333333333333,1
"264",132,133,1,0,1,1,0
"265",133,133,1,0,0.25,0.125,1
"266",133,133,1,0,1,1,0
"267",134,133,1,0,0.25,0.142857142857143,1
"268",134,133,1,0,1,1,0
"269",135,133,1,0,0.25,0.166666666666667,1
"270",135,133,1,0,1,1,0
"271",136,133,1,0,0.25,0.2,1
"272",136,133,1,0,1,1,0
"273",137,133,1,0,0.25,0.25,1
"274",137,133,1,0,1,1,0
"275",138,133,1,0,0.25,0.333333333333333,1
"276",138,133,1,0,1,1,0
"277",139,133,1,0,0.333333333333333,0.125,1
"278",139,133,1,0,1,1,0
"279",140,133,1,0,0.333333333333333,0.142857142857143,1
"280",140,133,1,0,1,1,0
"281",141,133,1,0,0.333333333333333,0.166666666666667,1
"282",141,133,1,0,1,1,0
"283",142,133,1,0,0.333333333333333,0.2,1
"284",142,133,1,0,1,1,0
"285",143,133,1,0,0.333333333333333,0.25,1
"286",143,133,1,0,1,1,0
"287",144,133,1,0,0.333333333333333,0.333333333333333,1
"288",144,133,1,0,1,1,0
"289",145,167,1,0,0.125,0.125,1
"290",145,167,1,0,1,1,0
"291",146,167,1,0,0.125,0.142857142857143,1
"292",146,167,1,0,1,1,0
"293",147,167,1,0,0.125,0.166666666666667,1
"294",147,167,1,0,1,1,0
"295",148,167,1,0,0.125,0.2,1
"296",148,167,1,0,1,1,0
"297",149,167,1,0,0.125,0.25,1
"298",149,167,1,0,1,1,0
"299",150,167,1,0,0.125,0.333333333333333,1
"300",150,167,1,0,1,1,0
"301",151,167,1,0,0.142857142857143,0.125,1
"302",151,167,1,0,1,1,0
"303",152,167,1,0,0.142857142857143,0.142857142857143,1
"304",152,167,1,0,1,1,0
"305",153,167,1,0,0.142857142857143,0.166666666666667,1
"306",153,167,1,0,1,1,0
"307",154,167,1,0,0.142857142857143,0.2,1
"308",154,167,1,0,1,1,0
"309",155,167,1,0,0.142857142857143,0.25,1
"310",155,167,1,0,1,1,0
"311",156,167,1,0,0.142857142857143,0.333333333333333,1
"312",156,167,1,0,1,1,0
"313",157,167,1,0,0.166666666666667,0.125,1
"314",157,167,1,0,1,1,0
"315",158,167,1,0,0.166666666666667,0.142857142857143,1
"316",158,167,1,0,1,1,0
"317",159,167,1,0,0.166666666666667,0.166666666666667,1
"318",159,167,1,0,1,1,0
"319",160,167,1,0,0.166666666666667,0.2,1
"320",160,167,1,0,1,1,0
"321",161,167,1,0,0.166666666666667,0.25,1
"322",161,167,1,0,1,1,0
"323",162,167,1,0,0.166666666666667,0.333333333333333,1
"324",162,167,1,0,1,1,0
"325",163,167,1,0,0.2,0.125,1
"326",163,167,1,0,1,1,0
"327",164,167,1,0,0.2,0.142857142857143,1
"328",164,167,1,0,1,1,0
"329",165,167,1,0,0.2,0.166666666666667,1
"330",165,167,1,0,1,1,0
"331",166,167,1,0,0.2,0.2,1
"332",166,167,1,0,1,1,0
"333",167,167,1,0,0.2,0.25,1
"334",167,167,1,0,1,1,0
"335",168,167,1,0,0.2,0.333333333333333,1
"336",168,167,1,0,1,1,0
"337",169,167,1,0,0.25,0.125,1
"338",169,167,1,0,1,1,0
"339",170,167,1,0,0.25,0.142857142857143,1
"340",170,167,1,0,1,1,0
"341",171,167,1,0,0.25,0.166666666666667,1
"342",171,167,1,0,1,1,0
"343",172,167,1,0,0.25,0.2,1
"344",172,167,1,0,1,1,0
"345",173,167,1,0,0.25,0.25,1
"346",173,167,1,0,1,1,0
"347",174,167,1,0,0.25,0.333333333333333,1
"348",174,167,1,0,1,1,0
"349",175,167,1,0,0.333333333333333,0.125,1
"350",175,167,1,0,1,1,0
"351",176,167,1,0,0.333333333333333,0.142857142857143,1
"352",176,167,1,0,1,1,0
"353",177,167,1,0,0.333333333333333,0.166666666666667,1
"354",177,167,1,0,1,1,0
"355",178,167,1,0,0.333333333333333,0.2,1
