"","PST045214","PST040210","PST120214","POP010210","AGE135214","AGE295214","AGE775214","SEX255214","RHI125214","RHI225214","RHI325214","RHI425214","RHI525214","RHI625214","RHI725214","RHI825214","POP715213","POP645213","POP815213","EDU635213","EDU685213","VET605213","LFE305213","HSG010214","HSG445213","HSG096213","HSG495213","HSD410213","HSD310213","INC910213","INC110213","PVY020213","BZA010213","BZA110213","BZA115213","NES010213","SBO001207","SBO315207","SBO115207","SBO215207","SBO515207","SBO415207","SBO015207","MAN450207","WTN220207","RTN130207","RTN131207","AFN120207","BPS030214","LND110210","POP060210","winner16"
"945",19025,19136,-0.6,19136,6,23.3,16.2,52.7,94.4,2.5,0.9,0.9,0,1.3,5.7,89.2,88.2,3.1,6.4,91.6,18.8,1445,18.9,7920,77.3,16.3,142700,7328,2.44,25723,53657,9.4,468,5790,-11.8,1190,1824,0,0,0,0,0,21.1,633876,105217,163649,8424,13502,15,423.36,45.2,"Rep"
"946",11083,11211,-1.1,11211,6.8,24.7,19.2,50.3,94.8,1.7,1.3,1.2,0.1,0.9,22.9,74.5,92.9,11.5,20.8,84.5,15.9,864,19.1,5038,74.5,14.7,95700,4445,2.48,25635,49698,10.8,289,3568,0.2,720,863,0,0,0,0,0,0,327529,145890,70359,6402,9103,6,434.95,25.8,"Rep"
"947",6495,6576,-1.2,6576,5.8,23,18.1,48.9,96.6,0.4,1.4,0.4,0,1.2,2.4,94.5,89.5,0.5,3,90.1,16.5,556,17.3,3073,77.3,14.5,107300,2685,2.39,25148,50507,9.2,170,1932,-7.2,474,615,0,0,0,0,0,0,0,0,56267,8675,5102,12,750.96,8.8,"Rep"
"948",51097,51461,-0.7,51461,4.4,18.3,15.1,50.6,94.4,1.5,0.3,2.6,0,1.2,2.7,92,84.3,3.6,6.2,89.9,26.8,2989,17.1,20922,71.6,22.5,158000,18957,2.48,23421,47468,15,1188,22233,2.8,2841,3551,1.5,0,0,0,0,19.9,1711138,0,666138,13403,65402,109,626.21,82.2,"Rep"
"949",129918,124700,4.2,124700,7.4,28.7,11.2,49.7,95.5,1.2,0.4,1.3,0,1.6,2.7,93.1,89.3,3,4.4,93.5,26.5,7961,30.1,49902,83.9,8.5,195000,44983,2.78,29623,71598,6.5,3145,34120,2.5,9447,13118,0,0,1,0,0.5,24,1124571,440743,1458815,12448,106702,550,661.46,188.5,"Rep"
"950",25602,25607,0,25607,4.6,18.5,13.6,51.9,93.7,1.9,0.3,2.2,0.1,1.8,2.6,91.4,70.9,2.4,4.8,86.7,27.6,1591,16.7,11343,60.2,23.6,102600,9648,2.31,19258,34733,23.7,638,8369,0.8,1495,2066,0,0,1.4,0,0,28.2,0,54741,310089,12590,38667,54,567.32,45.1,"Rep"
"951",5382,5685,-5.3,5685,5.5,20,23.8,50.4,97.9,0.4,0.4,0.2,0.1,1,1.3,96.8,85.9,0.2,1.3,89.3,21.3,585,18.1,2961,69.6,12.1,76400,2448,2.21,24748,44426,11.6,202,1301,1.6,440,845,0,0,0,0,0,13.5,0,67832,86619,14207,4510,1,547.3,10.4,"Rep"
"952",25887,25529,1.4,25529,6.1,23.5,16.7,54.5,90.2,6.9,0.5,0.5,0.1,1.9,2.6,87.9,83.5,1.5,4.9,84.3,13.1,1954,21.1,10798,74.2,10.2,90500,9327,2.54,19687,43013,17,553,6778,-0.1,1387,1746,0,0,0,0,0,15.3,1337135,0,247806,9643,18584,3,692.24,36.9,"Rep"
"953",35662,35597,0.2,35597,6.4,23,20.2,50.2,95.1,0.5,1.3,1.4,0.1,1.7,8.8,87.1,83.9,4.4,8,82.2,13.3,3445,22.4,17384,75.9,7.3,107500,13464,2.62,19489,38710,19.1,748,13455,0.3,2306,3318,0,1.3,0,0,1.3,28.5,1409848,134759,413782,11466,25785,13,778.25,45.7,"Rep"
"954",12057,12402,-2.8,12402,5.7,25,18.6,50.7,94.7,0.8,1.3,0.5,0.1,2.6,2.5,92.9,89,2.2,3.2,85.8,16.9,991,19.3,5568,75.3,7.9,84700,5065,2.42,20678,40580,18.7,254,2779,6.2,905,1264,0,0,0,0,0,28.2,174302,76001,135142,10623,8445,2,591.92,21,"Rep"
"955",16584,17049,-2.7,17049,5.9,24.1,18.7,50.6,96.4,1.1,0.8,0.2,0,1.5,2.2,94.6,88.6,0.8,2.6,83.9,11.9,1129,28.5,7809,73.8,8,99400,6832,2.42,21047,38579,18.6,340,2646,-7.3,1205,1459,0,0,0,0,0,0,0,77442,135422,7994,12312,1,836.69,20.4,"Rep"
"956",89486,89201,0.3,89201,6.7,22.9,14.6,49.7,89.6,6,0.6,1.1,0.3,2.3,6,84.4,79.3,3.4,5.5,86.1,20.1,7082,17.4,38453,64.7,20.1,109700,33331,2.56,21961,44363,17,2306,44794,2.3,4175,7173,0,0,1.6,0,0.5,23.2,0,1015485,1438683,16199,154484,95,408.03,218.6,"Rep"
"957",42972,42794,0.4,42794,6.6,23.7,17.7,51.1,90.7,5.5,0.7,0.8,0,2.3,1.7,89.3,81.4,1.2,2.6,78.2,14.4,4218,16.9,19649,65.9,12.2,89700,17085,2.46,19246,34969,21.2,1243,14985,0.9,2483,4050,0,0,0,0,0,26.5,632708,0,634785,15437,57927,25,694.67,61.6,"Rep"
"958",9034,9424,-4.1,9424,5.3,23.9,18.9,49.6,96.8,0.5,0.7,0.3,0,1.7,2,95.1,86.7,0.9,1.7,86.9,13.5,950,32.9,4604,71,6,83600,3743,2.42,21482,41169,14.3,150,825,-4.7,625,0,0,0,0,0,0,0,0,21230,34109,3691,2129,11,426.39,22.1,"Rep"
"959",44021,44002,0,44002,4.5,18.4,24.9,50.6,96.8,0.6,0.6,0.6,0.1,1.3,2.5,94.6,85.5,2.3,4.3,89.4,20.8,5092,21.1,41213,78.2,27.2,170200,17647,2.45,23038,43458,16.1,1403,12282,1.6,3731,5641,0,0,0,0,0,18.7,251109,109440,677919,16779,157554,54,655.92,67.1,"Rep"
"960",9043,9295,-2.7,9295,6.2,22.7,20.6,50.8,95.5,2.1,0.3,0.5,0.1,1.5,1.3,94.3,91.7,1.1,1.9,83.9,15.6,869,24.4,4609,80.3,8.5,83900,3613,2.52,24073,46002,13.6,232,1808,6.5,621,869,0,0,0,0,0,36.3,0,70062,60608,6161,5499,11,694.62,13.4,"Rep"
"961",6258,6265,-0.1,6265,6.3,23.9,17.8,51.5,96.3,0.4,1.1,0.1,0,1.9,1.9,94.9,86.9,0.8,1.3,74.7,13.8,572,23.5,3243,73.6,6.2,98300,2426,2.56,18245,30962,21.9,200,922,5.9,522,714,0,0,0,0,0,27.9,0,13630,27709,4668,3456,3,507.36,12.3,"Rep"
"962",100889,99478,1.4,99478,6,25,15.5,51.1,92.4,4,0.7,0.8,0.1,2.1,4.3,88.7,87.1,2,3.5,92,23.3,8688,27.8,40488,77.6,10.8,154900,37307,2.65,27463,60350,8.9,1813,18463,2.8,6604,9203,0,1,0,0,1.3,27.7,483706,351585,898675,9180,82368,305,696.84,142.8,"Rep"
"963",13952,13982,-0.2,13982,5.6,23,24,50.4,96.7,0.3,0.8,0.4,0,1.7,2.1,94.9,86.3,1.1,3.2,84.1,14.6,1478,25.1,7174,70.9,7.5,88500,5970,2.29,16362,30302,23.3,278,2324,-1.7,1054,0,0,0,0,0,0,0,0,13721,119883,8694,9794,6,474.48,29.5,"Rep"
"964",76557,75983,0.8,75990,6.2,22.9,14,49.4,84.5,11.8,0.4,1.3,0.1,1.9,2.7,82.3,83.6,3,4.6,90.4,30.8,6518,16.9,32798,66.8,24.5,142400,29302,2.46,26160,53931,13.3,2267,32675,-1.8,4729,6119,0,0,2,0,1.1,26.3,1568097,706090,1203694,16357,127555,188,393.75,193,"Rep"
"965",17585,17601,-0.1,17601,5.5,21.7,16.5,47.3,89.6,7.4,0.5,0.5,0.1,1.9,1.6,88.3,82.6,1.5,3.2,85.9,18.4,1392,22.5,7443,73.3,11.2,119800,6568,2.43,22910,45992,17.8,400,3905,-5,1071,1670,0,0,0,0,0,20.1,155345,75706,225574,12858,112683,4,564.77,31.2,"Rep"
"966",7628,7883,-3.2,7883,4.6,21.1,22.2,49.2,95.8,0.5,0.9,0.3,0,2.5,1.8,94.3,85.8,0.7,2.1,85.3,13.2,831,24.9,3933,77.1,4,78200,3175,2.39,20034,35483,20.6,140,1215,-6.5,495,0,0,0,0,0,0,0,0,62405,46902,6222,2099,0,490.01,16.1,"Rep"
